res_id,address,likes,dislikes,bookmarks,price_range,cuisine,review
552576,"Sai Wan Ho Ferry Pier, Tai Hong Street, Lei King Wan, Sai Wan Ho",162,2,6026,$401-800,Skewer,177
534326,"G/F, 22 D'Aguilar Street, Central",196,8,5437,$51-100,Ramen,253
560767,"2/F, Jardine Center, 50 Jardine's Bazaar, Causeway Bay",128,4,8967,$401-800,Roast Meat,156
598123,"Shop 3098B, 3/F, IFC mall, 1 Harbour View Street, Central",111,0,2311,Below $50,Dessert,126
111406,"G/F, Block A, Tung Fat Building, 21 Kam Ping Street, North Point",123,4,7985,$101-200,Sushi/Sashimi,162
534263,"8/F, The Loop, 33 Wellington Street, Central",170,8,9689,Above $801,Sushi/Sashimi,202
525891,"G/F, 46 Graham Street, Soho, Central",121,0,10301,$51-100,Sandwich,141
657813,"Shop 216-217, 2/F, Harbour North Phase 2, 123 Java Road, North Point",97,2,2505,$101-200,Sandwich,113
575920,"G/F, Winly Building, 1-5 Elgin Street, Central",64,4,17589,$201-400,Not Specified,101
585497,"G/F, 22 Shu Kuk Street, North Point",141,0,1540,$51-100,Ramen,165
636615,"Shop 101, 1/F, Tak Woo House, 1-3 Wo On Lane, Central",102,2,7369,Above $801,Kaiseki,112
94997,"Shop B, G/F, 20-22 Wun Sha Street, Tai Hang",216,24,6642,$51-100,Ramen,295
93324,"G/F, 5 Gough Street, Central",182,31,20870,$51-100,Ramen,357
611231,"Shop 228-230, 2/F, Shun Tak Centre, 168-200 Connaught Road, Sheung Wan",160,8,3805,$101-200,Ramen,200
16643,"22/F, East Point Centre, 555 Hennessy Road, Causeway Bay",193,18,14440,Above $801,Teppanyaki,273
518852,"Shop 313, 3/F, Cityplaza One, 18 Taikoo Shing Road, Tai Koo",121,8,9217,$101-200,Not Specified,187
527910,"Shop 1203, 12/F, Hysan Place, 500 Hennessy Road, Causeway Bay",247,6,6359,$51-100,Dessert,302
551219,"Shop 6, G/F, Dragon View House, 7-9 Hoi Kwong Street, Quarry Bay",134,4,8331,$101-200,Sushi/Sashimi,177
539723,"Basement, 55 Wellington Street, Central",66,4,12297,$101-200,Izakaya,82
649311,"2/F, 482 Jaffe Road, Causeway Bay",77,2,12318,$201-400,Coffee Shop,95
566120,"Shop G01, G/F, Lee Garden Two, 28 Yun Ping Road, Causeway Bay",72,10,13293,Above $801,Teppanyaki,122
150091,"4/F, Lee Garden One, 33 Hysan Avenue, Causeway Bay",124,4,14591,$401-800,Sushi/Sashimi,211
492825,"84 Jervois Street, Sheung Wan",179,8,6954,$51-100,Ramen,247
621772,"Shop 213, 2/F, Man Yee Building, 60-68 Des Voeux Road Central, Central",85,0,3916,$101-200,Sushi/Sashimi,100
488788,"G/F, 31 Amoy Street, Wan Chai",137,10,10703,$51-100,Wonton/Dumpling,210
168743,"G/F, 34 Tang Lung Street, Causeway Bay",258,15,10565,$51-100,Ramen,387
53130,"9/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",94,10,23192,$201-400,Teppanyaki,140
502364,"G/F, 53 Peel Street, Soho, Central",65,7,20320,$101-200,Bar,140
38012,"G/F, 503 Queen's Road West, Shek Tong Tsui, Western District",142,12,7339,$101-200,Sushi/Sashimi,203
648110,"1/F, 482 Jaffe Road, Causeway Bay",104,0,9287,Above $801,Sushi/Sashimi,115
489105,"4/F, Plaza 2000, 8 Canal Road East, Causeway Bay",101,2,10345,$101-200,Hot Pot,143
667112,"G/F, 13 Aberdeen Street, Central",58,6,11016,$101-200,Ramen,92
594586,"18/F, Aura on Pennington, 66 Jardline's Bazaar, Causeway Bay",96,5,10507,Above $801,Omakase,113
605414,"12/F, Cubus, 1 Hoi Ping Road, Causeway Bay",95,4,6062,Above $801,Sushi/Sashimi,108
180200,"2/F, Pearl Oriental House, 60 Stanley Street, Central",62,0,15724,$401-800,Roast Meat,75
668443,"9/F, The L. Square, 459-461 Lockhart Road, Causeway Bay",110,1,8647,$201-400,All-you-can-eat,142
679622,"Shop B36, B1/F, Lee Tung Avenue, 200 Queen's Road East, Wan Chai",82,0,1549,$51-100,Ice Cream/yogurt,90
565952,"Shop 19, G/F, AIA Tower, 183 Electric Road, North Point",82,2,4245,$51-100,Ramen,103
539681,"Shop 5A, G/F, Dragon View House, 7-9 Hoi Kwong Street, Quarry Bay",78,0,6410,$51-100,Juice,100
658918,"Shop 110-111, 1/F, Harbour North Phase 2, 123 Java Road, North Point",109,2,2124,$101-200,Hot Pot,132
603635,"G/F, 184 Hennessy Road, Wan Chai",75,0,5842,$51-100,Ramen,100
522262,"G/F, 13A King Kwong Street, Happy Valley",98,2,7421,$101-200,Ramen,134
680480,"Shop 10, 1/F, Site 4, Aberdeen Centre, 2-16 Nam Ning Street, Aberdeen",86,2,843,$51-100,Ramen,101
169804,"Shop 5, G/F., Grand Fortune Mansion, 1Davis Street, Kennedy Town, Western District",218,5,7144,$201-400,Sushi/Sashimi,242
645119,"Shop G16, G/F, Lee Tung Avenue, 200 Queen's Road East, Wan Chai",71,12,4569,$51-100,Not Specified,120
620007,"Shop C, G/F, Centrestage, 108 Hollywood Road, Sheung Wan",85,1,6288,$201-400,Hot Pot,98
661982,"Shop 3, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",130,2,2997,$101-200,Sushi/Sashimi,147
688621,"Shop 4, G/F, The Grandeur, 48 Jardine's Crescent, Causeway Bay",84,2,1809,$51-100,Not Specified,87
192492,"5/F, Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",88,4,7119,$101-200,Sushi/Sashimi,136
14730,"Shop 307, The Cyberport Arcade, 100 Cyberport Road, Pok Fu Lam",156,13,1011,$101-200,Sushi/Sashimi,200
566780,"Shop B, G/F, Yan King Court, 119-121 Queen`s Road East, Wan Chai",102,28,6725,$101-200,Ramen,217
175150,"2/F,Capital Building, 181 Lockhart Road, Wan Chai",128,10,13142,$201-400,Sushi/Sashimi,172
668231,"22/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",44,4,8393,$51-100,All Day Breakfast,68
613021,"22/F, Aura on Pennington, 66 Jardine's Bazaar, Causeway Bay",78,7,5177,$201-400,Wine,91
545090,"G/F, Kam Ling Court, 16 Whitty Street, Shek Tong Tsui, Western District",67,8,8584,$51-100,Ramen,112
548799,"13/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",98,4,9858,$201-400,Not Specified,120
16543,"12/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",116,2,8455,$401-800,Izakaya,142
108079,"G/F, 14 Kau U Fong, Central",140,11,10167,$51-100,Ramen,200
435677,"G/F, Soundwill Plaza 2 - Midtown, 1-29 Tang Lung Street, Causeway Bay",177,47,10835,$51-100,Ramen,383
470394,"G/F, 17 Aberdeen Street, Central",55,5,11558,$201-400,Fine Dining,74
623826,"15/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",74,1,3727,$101-200,Skewer,79
658170,"Shop F, G/F, Sun Sing Centre, 8 Sun Sing Street, Shau Kei Wan",56,3,6385,$101-200,Roast Meat,70
641234,"Shop G25, G/F, Tai On Building, 57-87 Shau Kei Wan Road, Sai Wan Ho",87,0,2279,$51-100,Udon,104
698547,"Shop B01, B/F, Tower 535, 535 Jaffe Road, Causeway Bay",37,5,6298,$101-200,Not Specified,55
565593,"Shop B&C, G/F, Tower II Tern Centre, 251 Queen’s Road Central, Sheung Wan",49,3,9189,$101-200,All Day Breakfast,76
